[Header]
; VSM Data File (default extension .dat)
; Copyright (c) 2003-2008, Quantum Design, Inc. All rights reserved.
TITLE,
FILEOPENTIME,3931695930.39377,08/01/2024,5:45 pm
BYAPP,VSM,2.0,1.0
INFO,VersaLab VSM Option Release 1.4.4 Build 11,APPNAME
INFO,Quantum Design Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 E4,MOTOR_HW_VERSION
INFO,MMC480,MOTOR_SERIAL_NUMBER
INFO,SRV No X-over 01.03.11,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design VSM Detection Module,VSM_MODULE_NAME
INFO,3101-150 D1,VSM_HW_VERSION
INFO,285,VSM_SERIAL_NUMBER
INFO,VSM No X-over 01.02.05 May 20 2008 13:51:47,VSM_SOFTWARE_VERSION
INFO,279,PREAMP_SERIAL_NUMBER
INFO,835,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,,SAMPLE_MATERIAL
INFO,,SAMPLE_COMMENT
INFO,,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Coil Signal' (mV),Coil Signal" (mV),Range (mV),M. Quad. Signal (emu),M. Raw' (emu),M. Raw" (emu),Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),VSM Status (code),Motor Status (code),Measure Status (code),Measure Count,System Temp. (K),Temp. Status (code),Field Status (code),Chamber Status (code),Motor Current (amps),Motor Heatsink Temp. (C),Map 01,Map 02,Map 03,Map 04,Map 05,Map 06,Map 07,Map 08,Map 09,Map 10,Map 11,Map 12,Map 13,Map 14,Map 15,Map 16
,3931698657.688,299.916061401367,7720.9765625,0.00121540008266626,7.33894017065752E-7,1,1.99850670813958,40.0298881530762,1.99526305855263,15.1699995622039,0.013999475915767,0.00234953520716152,0.25,-1.01175076551515E-5,0.00121536910866415,-9.32885111783839E-6,299.917053222656,299.917053222656,7700.8955078125,7741.0576171875,48.3671727700051,17.266406386936,,0,0,0,80,299.915069580078,1,6,1,1.92459106445313,66.4711685180664,,,,,,,,,,,,,,,,
,3931698659.6815,299.915786743164,7761.31591796875,0.00121547762445995,5.96485648540287E-7,1,1.99850670813958,40.0298881530762,1.99520584757133,15.1699995622039,0.0139977685111822,0.00236216299499114,0.25,-9.02756971716983E-6,0.00121544594914236,-8.23889824564253E-6,299.915069580078,299.915069580078,7741.0576171875,7781.57421875,48.370299284082,17.2665298765764,,0,0,0,80,299.91650390625,1,6,1,1.92398071289062,66.4711685180664,,,,,,,,,,,,,,,,
,3931698661.696,299.914993286133,7801.72143554687,0.00121343955193929,8.02711419307696E-7,1,1.99850670813958,40.0298881530762,1.99515484047052,15.1699995622039,0.0139746079487238,0.00235442793474896,0.25,-9.3355398488451E-6,0.00121340816206897,-8.54818101643172E-6,299.91650390625,299.91650390625,7781.57421875,7821.86865234375,48.2350775502551,17.2673418746101,,0,0,0,80,299.913482666016,1,6,1,1.92306518554687,66.4711685180664,,,,,,,,,,,,,,,,
,3931698663.707,299.914993286133,7842.0771484375,0.00121313128639593,7.4501743297012E-7,1,1.99850670813958,40.0298881530762,1.99516404868815,15.1699995622039,0.0139717495094036,0.00235027244941398,0.25,-9.64338844695049E-6,0.00121310010595174,-8.85622256767759E-6,299.913482666016,299.913482666016,7821.86865234375,7862.28564453125,47.740306697582,17.2669585424769,,0,0,0,80,299.91650390625,1,6,1,1.91360473632813,66.4711685180664,,,,,,,,,,,,,,,,
,3931698665.686,299.915069580078,7881.16552734375,0.00121331417152328,7.4964942244613E-7,1,1.99850670813958,40.0298881530762,1.99513768466882,15.1699995622039,0.0139727989403242,0.00235557604897523,0.25,-9.21188662074652E-6,0.00121328270361483,-8.42461808235687E-6,299.91650390625,299.91650390625,7862.28564453125,7900.04541015625,47.9083568292166,17.2671293487482,,0,0,0,80,299.913635253906,1,6,1,1.92535400390625,66.4711685180664,,,,,,,,,,,,,,,,
,3931698667.682,299.914352416992,7920.04858398438,0.00121295549497128,7.06715804797572E-7,1,1.99850670813958,40.0298881530762,1.99517363684771,15.1699995622039,0.0139689166564711,0.00235489380651418,0.25,-9.21150685255853E-6,0.00121292405846193,-8.4244713022809E-6,299.913635253906,299.913635253906,7900.04541015625,7940.0517578125,47.8770916884474,17.2662527663267,,0,0,0,80,299.915069580078,1,6,1,1.910400390625,66.4711685180664,,,,,,,,,,,,,,,,
,3931698669.68,299.91535949707,7960.22265625,0.0012110685568309,7.02141414244988E-7,1,1.99850670813958,40.0298881530762,1.99509534637611,15.1699995622039,0.0139455685321948,0.00235730870832452,0.25,-8.66089063698625E-6,0.00121103679308317,-7.8751014142518E-6,299.915069580078,299.915069580078,7940.0517578125,7980.3935546875,48.2546182632359,17.2719133958514,,0,0,0,80,299.915649414063,1,6,1,1.91314697265625,66.4711685180664,,,,,,,,,,,,,,,,
,3931698671.688,299.91535949707,8000.52221679688,0.00120999783503017,8.80468156395596E-7,1,1.99850670813958,40.0298881530762,1.99527311402374,15.1699995622039,0.013936851285926,0.00234175342048909,0.25,-9.84211325883484E-6,0.00120996687072887,-9.05698456968701E-6,299.915649414063,299.915649414063,7980.3935546875,8020.65087890625,47.8739651743704,17.2650171771084,,0,0,0,80,299.915069580078,1,6,1,1.92428588867187,66.4711685180664,,,,,,,,,,,,,,,,
,3931698673.7035,299.915496826172,8040.8779296875,0.00121018428960482,9.0309957186221E-7,1,1.99850670813958,40.0298881530762,1.99525593360203,15.1699995622039,0.0139357570446271,0.00235981448359629,0.25,-8.30298077014657E-6,0.00121015231759127,-7.51778156145015E-6,299.915069580078,299.915069580078,8020.65087890625,8061.10498046875,48.2421122069282,17.2657942546025,,0,0,0,80,299.915924072266,1,6,1,1.91390991210938,66.4711685180664,,,,,,,,,,,,,,,,
,3931698675.6845,299.914138793945,8079.99462890625,0.00120851094404918,1.03197592305393E-6,1,1.99850670813958,40.0298881530762,1.99524513931593,15.1699995622039,0.0139179569532439,0.00234780074145858,0.25,-9.05128029607869E-6,0.00120847954766983,-8.26714183591318E-6,299.915924072266,299.915924072266,8061.10498046875,8098.88427734375,47.8427000336012,17.2648546007244,,0,0,0,80,299.912353515625,1,6,1,1.91238403320313,66.4711685180664,,,,,,,,,,,,,,,,
